# Market-wide pool, VERIFIED live prices from OpenRouter /models, snapshot 2026-06-19.
# Chat/instruct models only; pure reasoning/'thinking' variants excluded (finite max_tokens grading).
model_id,provider_family,tier,snapshot_date,price_in_per_mtok_usd,price_out_per_mtok_usd,context_window,notes
openai/gpt-5.5,openai,frontier,2026-06-19,5,30,1050000,verified-live-openrouter
anthropic/claude-opus-4.8,anthropic,frontier,2026-06-19,5,25,1000000,verified-live-openrouter
anthropic/claude-sonnet-4.6,anthropic,frontier,2026-06-19,3,15,1000000,verified-live-openrouter
openai/gpt-5.4,openai,frontier,2026-06-19,2.5,15,1050000,verified-live-openrouter
openai/gpt-5.2,openai,frontier,2026-06-19,1.75,14,400000,verified-live-openrouter
google/gemini-3.1-pro-preview,google,frontier,2026-06-19,2,12,1048576,verified-live-openrouter
openai/gpt-5.1,openai,mid,2026-06-19,1.25,10,400000,verified-live-openrouter
google/gemini-3.5-flash,google,mid,2026-06-19,1.5,9,1048576,verified-live-openrouter
ai21/jamba-large-1.7,ai21,mid,2026-06-19,2,8,256000,verified-live-openrouter
mistralai/mistral-medium-3-5,mistral,mid,2026-06-19,1.5,7.5,262144,verified-live-openrouter
qwen/qwen3.6-max-preview,qwen,mid,2026-06-19,1.04,6.24,262144,verified-live-openrouter
writer/palmyra-x5,writer,mid,2026-06-19,0.6,6,1040000,verified-live-openrouter
anthropic/claude-haiku-4.5,anthropic,mid,2026-06-19,1,5,200000,verified-live-openrouter
z-ai/glm-5.2,zai,mid,2026-06-19,1.2,4.1,1048576,verified-live-openrouter
qwen/qwen3.7-max,qwen,mid,2026-06-19,1.25,3.75,1000000,verified-live-openrouter
qwen/qwen3-max,qwen,mid,2026-06-19,0.78,3.9,262144,verified-live-openrouter
moonshotai/kimi-k2.7-code,moonshot,mid,2026-06-19,0.74,3.5,262144,verified-live-openrouter
qwen/qwen3-coder-plus,qwen,mid,2026-06-19,0.65,3.25,1000000,verified-live-openrouter
z-ai/glm-5.1,zai,mid,2026-06-19,0.98,3.08,202752,verified-live-openrouter
nousresearch/hermes-4-405b,nous,mid,2026-06-19,1,3,131072,verified-live-openrouter
x-ai/grok-4.3,xai,mid,2026-06-19,1.25,2.5,1000000,verified-live-openrouter
moonshotai/kimi-k2-0905,moonshot,mid,2026-06-19,0.6,2.5,262144,verified-live-openrouter
qwen/qwen3.5-397b-a17b,qwen,mid,2026-06-19,0.385,2.45,256000,verified-live-openrouter
nvidia/nemotron-3-ultra-550b-a55b,nvidia,mid,2026-06-19,0.5,2.2,1000000,verified-live-openrouter
qwen/qwen3.5-122b-a10b,qwen,mid,2026-06-19,0.26,2.08,262144,verified-live-openrouter
z-ai/glm-5,zai,mid,2026-06-19,0.6,1.92,202752,verified-live-openrouter
openai/gpt-5-mini,openai,mid,2026-06-19,0.25,2,400000,verified-live-openrouter
z-ai/glm-4.7,zai,mid,2026-06-19,0.4,1.75,202752,verified-live-openrouter
z-ai/glm-4.6,zai,mid,2026-06-19,0.43,1.74,202752,verified-live-openrouter
mistralai/mistral-large-2512,mistral,mid,2026-06-19,0.5,1.5,262144,verified-live-openrouter
google/gemini-3.1-flash-lite,google,mid,2026-06-19,0.25,1.5,1048576,verified-live-openrouter
qwen/qwen3.7-plus,qwen,mid,2026-06-19,0.32,1.28,1000000,verified-live-openrouter
minimax/minimax-m3,minimax,cheap,2026-06-19,0.3,1.2,1048576,verified-live-openrouter
stepfun/step-3.7-flash,stepfun,cheap,2026-06-19,0.2,1.15,256000,verified-live-openrouter
qwen/qwen3-next-80b-a3b-instruct,qwen,cheap,2026-06-19,0.09,1.1,262144,verified-live-openrouter
minimax/minimax-m2,minimax,cheap,2026-06-19,0.255,1,204800,verified-live-openrouter
