# VERIFIED live prices from OpenRouter /models, snapshot 2026-06-15. CURRENT frontier pool (15 models, 9 families).
# Fable 5 excluded: listed in catalog but returns 404 'not available'. o4-mini excluded: reasoning-token semantics.
model_id,provider_family,tier,snapshot_date,price_in_per_mtok_usd,price_out_per_mtok_usd,context_window,notes
anthropic/claude-opus-4.8,anthropic,frontier,2026-06-15,5.0,25.0,1000000,verified-live-openrouter
openai/gpt-5.1,openai,frontier,2026-06-15,1.25,10.0,400000,verified-live-openrouter
google/gemini-3.1-pro-preview,google,frontier,2026-06-15,2.0,12.0,1048576,verified-live-openrouter
moonshotai/kimi-k2.7-code,moonshot,frontier,2026-06-15,0.75,3.5,262144,verified-live-openrouter
anthropic/claude-sonnet-4.6,anthropic,mid,2026-06-15,3.0,15.0,1000000,verified-live-openrouter
openai/gpt-5-mini,openai,mid,2026-06-15,0.25,2.0,400000,verified-live-openrouter
google/gemini-3.5-flash,google,mid,2026-06-15,1.5,9.0,1048576,verified-live-openrouter
qwen/qwen3-235b-a22b-2507,qwen,mid,2026-06-15,0.09,0.1,262144,verified-live-openrouter
mistralai/mistral-large-2512,mistral,mid,2026-06-15,0.5,1.5,262144,verified-live-openrouter
minimax/minimax-m2.7,minimax,mid,2026-06-15,0.25,1.0,204800,verified-live-openrouter
deepseek/deepseek-v3.2,deepseek,mid,2026-06-15,0.2288,0.3432,131072,verified-live-openrouter
anthropic/claude-haiku-4.5,anthropic,cheap,2026-06-15,1.0,5.0,200000,verified-live-openrouter
openai/gpt-5-nano,openai,cheap,2026-06-15,0.05,0.4,400000,verified-live-openrouter
google/gemini-3.1-flash-lite,google,cheap,2026-06-15,0.25,1.5,1048576,verified-live-openrouter
meta-llama/llama-4-maverick,meta,cheap,2026-06-15,0.15,0.6,1048576,verified-live-openrouter
